Datekey_Opening,OpeningDate,Year,Month_Num,Month_Name,Quarter,YearMonth,WeekdayNumber,Weekday_name,FinanacialMonth,FinancialQuarter
2013_9_21,21-09-2013,2013,9,September,Q3,41518,6,Saturday,FM6,FQ2
2016_9_10,10-09-2016,2016,9,September,Q3,42614,6,Saturday,FM6,FQ2
2018_9_25,25-09-2018,2018,9,September,Q3,43344,2,Tuesday,FM6,FQ2
2018_9_6,06-09-2018,2018,9,September,Q3,43344,4,Thursday,FM6,FQ2
2013_9_17,17-09-2013,2013,9,September,Q3,41518,2,Tuesday,FM6,FQ2
2018_9_3,03-09-2018,2018,9,September,Q3,43344,1,Monday,FM6,FQ2
2011_9_16,16-09-2011,2011,9,September,Q3,40787,5,Friday,FM6,FQ2
2014_9_21,21-09-2014,2014,9,September,Q3,41883,7,Sunday,FM6,FQ2
2012_9_9,09-09-2012,2012,9,September,Q3,41153,7,Sunday,FM6,FQ2
2012_9_24,24-09-2012,2012,9,September,Q3,41153,1,Monday,FM6,FQ2
2014_9_20,20-09-2014,2014,9,September,Q3,41883,6,Saturday,FM6,FQ2
2013_8_10,10-08-2013,2013,8,August,Q3,41487,6,Saturday,FM5,FQ2
2010_8_20,20-08-2010,2010,8,August,Q3,40391,5,Friday,FM5,FQ2
2017_8_24,24-08-2017,2017,8,August,Q3,42948,4,Thursday,FM5,FQ2
2013_8_15,15-08-2013,2013,8,August,Q3,41487,4,Thursday,FM5,FQ2
2010_8_24,24-08-2010,2010,8,August,Q3,40391,2,Tuesday,FM5,FQ2
2015_8_13,13-08-2015,2015,8,August,Q3,42217,4,Thursday,FM5,FQ2
2011_8_24,24-08-2011,2011,8,August,Q3,40756,3,Wednesday,FM5,FQ2
2017_8_21,21-08-2017,2017,8,August,Q3,42948,1,Monday,FM5,FQ2
2012_8_9,09-08-2012,2012,8,August,Q3,41122,4,Thursday,FM5,FQ2
2010_8_4,04-08-2010,2010,8,August,Q3,40391,3,Wednesday,FM5,FQ2
2017_8_13,13-08-2017,2017,8,August,Q3,42948,7,Sunday,FM5,FQ2
2016_8_6,06-08-2016,2016,8,August,Q3,42583,6,Saturday,FM5,FQ2
2013_8_24,24-08-2013,2013,8,August,Q3,41487,6,Saturday,FM5,FQ2
2014_8_6,06-08-2014,2014,8,August,Q3,41852,3,Wednesday,FM5,FQ2
2010_8_8,08-08-2010,2010,8,August,Q3,40391,7,Sunday,FM5,FQ2
2016_8_3,03-08-2016,2016,8,August,Q3,42583,3,Wednesday,FM5,FQ2
2018_7_26,26-07-2018,2018,7,July,Q3,43282,4,Thursday,FM4,FQ2
2011_7_18,18-07-2011,2011,7,July,Q3,40725,1,Monday,FM4,FQ2
2018_7_28,28-07-2018,2018,7,July,Q3,43282,6,Saturday,FM4,FQ2
2017_7_22,22-07-2017,2017,7,July,Q3,42917,6,Saturday,FM4,FQ2
2011_7_4,04-07-2011,2011,7,July,Q3,40725,1,Monday,FM4,FQ2
2013_7_13,13-07-2013,2013,7,July,Q3,41456,6,Saturday,FM4,FQ2
2011_7_13,13-07-2011,2011,7,July,Q3,40725,3,Wednesday,FM4,FQ2
2011_7_3,03-07-2011,2011,7,July,Q3,40725,7,Sunday,FM4,FQ2
2014_7_20,20-07-2014,2014,7,July,Q3,41821,7,Sunday,FM4,FQ2
2014_7_2,02-07-2014,2014,7,July,Q3,41821,3,Wednesday,FM4,FQ2
2014_6_16,16-06-2014,2014,6,June,Q2,41791,1,Monday,FM3,FQ1
2018_6_23,23-06-2018,2018,6,June,Q2,43252,6,Saturday,FM3,FQ1
2010_6_20,20-06-2010,2010,6,June,Q2,40330,7,Sunday,FM3,FQ1
2017_6_15,15-06-2017,2017,6,June,Q2,42887,4,Thursday,FM3,FQ1
2015_6_5,05-06-2015,2015,6,June,Q2,42156,5,Friday,FM3,FQ1
2012_6_10,10-06-2012,2012,6,June,Q2,41061,7,Sunday,FM3,FQ1
2015_6_18,18-06-2015,2015,6,June,Q2,42156,4,Thursday,FM3,FQ1
2013_6_15,15-06-2013,2013,6,June,Q2,41426,6,Saturday,FM3,FQ1
2018_6_27,27-06-2018,2018,6,June,Q2,43252,3,Wednesday,FM3,FQ1
2018_6_25,25-06-2018,2018,6,June,Q2,43252,1,Monday,FM3,FQ1
2012_6_16,16-06-2012,2012,6,June,Q2,41061,6,Saturday,FM3,FQ1
2017_6_8,08-06-2017,2017,6,June,Q2,42887,4,Thursday,FM3,FQ1
