RestaurantID,Restaurant_Name,CountryCode,City,Longitude,Latitude,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,ToUSD,ToINR,Rating,Datekey_Opening,OpeningDate,Country
18435314,Punjabis Veg Grill,1,New Delhi,77.2767689,28.6507753,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,300,0.012,1,1,2013_9_21,21-09-2013,India
310448,Burger King,1,New Delhi,77.2212499,28.6327396,Burger, Fast Food,NA,NA,NA,NA,NA,INR,No,Yes,No,No,2,2093,500,0.012,1,3.8,2013_9_21,21-09-2013,India
18378015,Tasty Tandoor,1,New Delhi,77.27505159,28.65821556,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,200,0.012,1,1,2016_9_10,10-09-2016,India
18460925,The Square Meal,1,New Delhi,77.303949,28.665829,North Indian, South Indian, Chinese,NA,NA,NA,NA,INR,Yes,No,No,No,2,1,800,0.012,1,1,2016_9_10,10-09-2016,India
18424905,Taste of Spice,1,New Delhi,77.2413122,28.5783107,North Indian,NA,NA,NA,NA,NA,NA,INR,No,Yes,No,No,1,0,400,0.012,1,1,2018_9_25,25-09-2018,India
131,Chopsticks,1,New Delhi,77.2133902,28.5525438,Chinese, Thai,NA,NA,NA,NA,NA,INR,Yes,Yes,No,No,3,350,1700,0.012,1,3.6,2018_9_25,25-09-2018,India
18180072,Kolcata Bengali Dhaba,1,New Delhi,77.1239323,28.5435869,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,100,0.012,1,1,2018_9_6,06-09-2018,India
6905,Food Plaza,1,New Delhi,77.1260123,28.66601166,Chinese,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,2,23,500,0.012,1,3.2,2018_9_6,06-09-2018,India
18415377,Sunil Punjabi Dhaba,1,New Delhi,77.1297061,28.5413686,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,150,0.012,1,1,2013_9_17,17-09-2013,India
310491,4 on 44 Restaurant  Bar,1,New Delhi,77.1346226,28.6901424,North Indian, Chinese,NA,NA,NA,NA,NA,INR,Yes,Yes,No,No,3,49,1000,0.012,1,2.6,2013_9_17,17-09-2013,India
18421485,Bikaner Restaurant,1,New Delhi,77.2081351,28.699566,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,100,0.012,1,1,2018_9_3,03-09-2018,India
3700019,Rendezvous Cafe Restaurant,1,Puducherry,79.83258056,11.92859167,Goan, Mangalorean, Continental, French,NA,NA,NA,INR,No,No,No,No,4,225,1200,0.012,1,3.5,2018_9_3,03-09-2018,India
312413,Just In,1,New Delhi,77.2190942,28.7094798,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,200,0.012,1,1,2011_9_16,16-09-2011,India
309542,Sura Vie,1,New Delhi,77.1501341,28.6937824,North Indian, Italian, Chinese, Thai,NA,NA,NA,INR,Yes,Yes,No,No,3,391,1400,0.012,1,3.4,2011_9_16,16-09-2011,India
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,1,New Delhi,76.9748922,28.6112536,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,150,0.012,1,1,2014_9_21,21-09-2014,India
18366001,Baba Ka Dhaba,1,New Delhi,77.0902799,28.5828978,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,200,0.012,1,1,2014_9_21,21-09-2014,India
18273067,Curry Capital  Hotel Classic Diplomat,1,New Delhi,77.1261797,28.5476562,North Indian, Continental, South Indian, Chinese,NA,NA,NA,INR,Yes,No,No,No,3,1,1000,0.012,1,1,2014_9_21,21-09-2014,India
18354644,Shree Bhojnalaya,1,New Delhi,77.27276199,28.56077074,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,100,0.012,1,1,2012_9_9,09-09-2012,India
311272,Rainbows,1,New Delhi,77.2210703,28.5699028,Bakery, Fast Food,NA,NA,NA,NA,NA,INR,No,Yes,No,No,2,24,500,0.012,1,2.6,2012_9_9,09-09-2012,India
18486845,Kaka Da Dhaba,1,New Delhi,77.1741183,28.5771926,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,100,0.012,1,1,2012_9_24,24-09-2012,India
18424202,Famous Parantha and Poori Sabzi,1,New Delhi,77.3085095,28.5893763,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,50,0.012,1,1,2014_9_20,20-09-2014,India
18253896,Tamba,214,Abu Dhabi,54.358147,24.488161,Indian,NA,NA,NA,NA,NA,NA,Emirati Diram(AED),Yes,No,No,No,4,201,500,0.27,23.74,4.7,2014_9_20,20-09-2014,United Arab Emirates
18445801,The Mustard,1,New Delhi,77.248798,28.540204,Bengali,NA,NA,NA,NA,NA,NA,INR,No,Yes,No,No,2,7,500,0.012,1,2.9,2014_9_20,20-09-2014,India
18472678,Garam Masala,1,New Delhi,77.2254202,28.5728608,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,300,0.012,1,1,2013_8_10,10-08-2013,India
5366,Gullus,1,New Delhi,77.1522462,28.6913437,North Indian, Mughlai,NA,NA,NA,NA,NA,INR,No,No,No,No,2,45,550,0.012,1,2.9,2013_8_10,10-08-2013,India
18209806,ZaikaEChaap Express,1,New Delhi,77.30820905,28.67788563,North Indian,NA,NA,NA,NA,NA,NA,INR,No,No,No,No,1,0,250,0.012,1,1,2010_8_20,20-08-2010,India
302162,Club India Cafe  Restaurant,1,New Delhi,77.21339095,28.64084258,North Indian, Fast Food, Chinese, Japanese, Asian, Italian,NA,INR,Yes,No,No,No,2,32,900,0.012,1,2.9,2010_8_20,20-08-2010,India
